stock_name,stock_code,is_shariah,category
SCGBHD,0225,True,"Industrial Materials, Components &Equipment"
IQGROUP,5107,True,Houshold Goods
GHLSYS,0021,True,Digital Services
HIGHTEC,7033,True,Industrial Engineering
BPLANT,5254,True,Plantation
UZMA,7250,True,"Energy, Infrastructure, Equipment &Services"
PWF,7134,True,Agricultural Products
SSB8,0045,True,Construction
MBSB,1171,True,Other Financials
MISC,3816,True,Transportation &Logistics Services
HPMT,5291,True,"Industrial Materials, Components &Equipment"
TELADAN,0230,True,Property
YBS,0025,True,"Industrial Materials, Components &Equipment"
ALAQAR,5116,True,Real Estate Investment Trusts
HUBLINE,7013,True,Transportation &Logistics Services
ATLAN,7048,False,Retailers
OCK,0172,True,Telecommunications Service Providers
CWG,9423,True,Consumer Services
KHJB,0210,True,Retailers
D &O,7204,True,Semiconductors
KKB,9466,True,Industrial Engineering
KARYON,0054,True,Chemicals
MSNIAGA,5011,True,Digital Services
BESHOM,7668,False,Retailers
LYSAGHT,9199,False,Metals
PBA,5041,True,"Gas, Water &Multi-Utilities"
AJI,2658,True,Food &Beverages
PJBUMI,7163,True,Industrial Services
EITA,5208,True,"Industrial Materials, Components &Equipment"
MAHSING,8583,True,Property
HCK,7105,True,Property
TANCO,2429,True,Property
ASIABRN,7722,True,Personal Goods
KUB,6874,True,Industrial Services
BIG,7005,True,Diversified Industrials
EUPE,6815,True,Property
ILB,5614,False,Transportation &Logistics Services
LITRAK,6645,True,Transportation &Logistics Services
PTARAS,9598,True,Construction
HLCAP,5274,False,Other Financials
SPRITZER,7103,True,Food &Beverages
CEB,5311,False,Diversified Industrials
SUCCESS,7207,True,"Industrial Materials, Components &Equipment"
KPSCB,9121,True,Wood &Wood Products
EG,8907,True,"Industrial Materials, Components &Equipment"
SOLID,5242,True,Automotive
CENSOF,5195,True,Software
YTLREIT,5109,False,Real Estate Investment Trusts
MAGNUM,3859,False,"Travel, Leisure &Hospitality"
OCNCASH,0049,True,Personal Goods
KENANGA,6483,False,Other Financials
PARAMON,1724,True,Property
SYNERGY,0279,True,Houshold Goods
KRONO,0176,True,Digital Services
JHM,0127,True,Semiconductors
SURIA,6521,True,Transportation &Logistics Services
UNITRAD,0247,False,Building Materials
JKGLAND,6769,True,Property
LUXCHEM,5143,True,Chemicals
RKI,7006,True,Houshold Goods
PMCORP,4081,False,"Travel, Leisure &Hospitality"
MNRB,6459,False,Insurance
AIRPORT,5014,False,Transportation &Logistics Services
GLOTEC,5220,True,"Industrial Materials, Components &Equipment"
ORIENT,4006,False,Automotive
MHC,5026,True,Plantation
NGGB,7241,True,Industrial Services
SIGN,7246,True,Houshold Goods
SAB,5134,False,Chemicals
SEDANIA,0178,True,Telecommunications Equipment
ZHULIAN,5131,True,Consumer Services
DSS,0269,True,Packaging Materials
DRBHCOM,1619,True,Automotive
BINACOM,0195,True,Telecommunications Service Providers
GOB,1147,True,Property
PLABS,0171,False,Agricultural Products
TEKSENG,7200,True,Houshold Goods
ASIAFLE,7129,True,Consumer Services
MALTON,6181,True,Property
UMCCA,2593,True,Plantation
MKH,6114,True,Property
YTL,4677,False,"Gas, Water &Multi-Utilities"
CJCEN,7117,True,Transportation &Logistics Services
UOADEV,5200,True,Property
ACO,0218,True,Industrial Services
SHCHAN,4316,True,Plantation
BLDPLNT,5069,True,Plantation
BCB,6602,True,Property
MUDAJYA,5085,True,Construction
EDARAN,5036,True,Technology Equipment
EMETALL,7217,True,Metals
SENTRAL,5123,False,Real Estate Investment Trusts
ARTRONIQ,0038,True,Chemicals
MITRA,9571,True,Construction
ROHAS,9741,True,Industrial Engineering
DKLS,7528,True,Construction
KAB,0193,True,Industrial Engineering
GBGAQRS,5226,True,Construction
JAG,0024,True,Industrial Services
SCC,0158,False,Consumer Services
AMTEL,7031,True,Telecommunications Equipment
SUBUR,6904,False,Wood &Wood Products
TRC,5054,True,Construction
MQTECH,0070,True,Semiconductors
SCOPE,0028,True,"Industrial Materials, Components &Equipment"
ECOWLD,8206,True,Property
MENANG,1694,True,Property
STRAITS,0080,True,Transportation &Logistics Services
MBRIGHT,2097,True,"Travel, Leisure &Hospitality"
NSOP,2038,True,Plantation
XL,7121,True,Consumer Services
SIMEPROP,5288,True,Property
LSTEEL,9881,True,Metals
HEXTECH,5136,True,Transportation &Logistics Services
DPIH,0205,False,Houshold Goods
MESB,7234,False,Personal Goods
MUIPROP,3913,True,Property
SUNZEN,0148,False,Agricultural Products
GMUTUAL,9962,True,Property
TNLOGIS,8397,True,Transportation &Logistics Services
MILUX,7935,True,Houshold Goods
METROD,6149,False,Metals
TURIYA,4359,True,Semiconductors
UNIQUE,0257,True,Industrial Services
DOMINAN,7169,True,Wood &Wood Products
MIKROMB,0112,True,Technology Equipment
EDGENTA,1368,True,Industrial Services
ANNUM,5082,True,Wood &Wood Products
GLXT,0284,False,Industrial Services
IGBB,5606,False,Property
CEG,5166,True,Consumer Services
JAKS,4723,True,Construction
PERDANA,7108,True,"Energy, Infrastructure, Equipment &Services"
FAJAR,7047,True,Construction
KAMDAR,8672,True,Retailers
LEONFB,5232,False,Metals
FACBIND,2984,False,Metals
YLI,7014,True,Metals
WCT,9679,True,Construction
CANONE,5105,False,Packaging Materials
UNIWALL,03017,True,Construction
