stock_code,stock_name,stock_full_name,category
5145,SEALINK,SEALINK INTERNATIONAL BHD,TRANSPORTATION & LOGISTICS
5163,SEB,SEREMBAN ENGINEERING BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0178,SEDANIA,SEDANIA INNOVATOR BERHAD,TELECOMMUNICATIONS & MEDIA
7053,SEEHUP,SEE HUP CONSOLIDATED BHD,TRANSPORTATION & LOGISTICS
03009,SEERS,SEERS BERHAD,CONSUMER PRODUCTS & SERVICES
9792,SEG,SEG INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES
5250,SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
5205,SENDAI,EVERSENDAI CORPORATION BERHAD,CONSTRUCTION
5308,SENFONG,SENG FONG HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5305,SENHENG,SENHENG NEW RETAIL BERHAD,CONSUMER PRODUCTS & SERVICES
5123,SENTRAL,SENTRAL REIT,REAL ESTATE INVESTMENT TRUSTS
5279,SERBADK,SERBA DINAMIK HOLDINGS BERHAD,ENERGY
7180,SERNKOU,SERN KOU RESOURCES BHD,CONSUMER PRODUCTS & SERVICES
0055,SERSOL,SERSOL BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0251,SFPTECH,SFP TECH HOLDINGS BERHAD,TECHNOLOGY
03033,SGBHD,SUPERGENICS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5517,SHANG,SHANGRI-LA HOTELS (M) BHD,CONSUMER PRODUCTS & SERVICES
4316,SHCHAN,SIN HENG CHAN (MALAYA) BHD,PLANTATION
7412,SHH,SHH RESOURCES HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
6017,SHL,SHL CONSOLIDATED BHD,PROPERTY
0241,SIAB,SIAB HOLDINGS BERHAD,CONSTRUCTION
7246,SIGN,SIGNATURE INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES
4197,SIME,SIME DARBY BHD,CONSUMER PRODUCTS & SERVICES
5288,SIMEPROP,SIME DARBY PROPERTY BERHAD,PROPERTY
5172,SINARAN,SINARAN ADVANCE GROUP BERHAD,CONSUMER PRODUCTS & SERVICES
0305,SINKUNG,SIN-KUNG LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS
