stock_name,stock_code,is_shariah,category
PARKWD,2682,True,Property
CEPAT,8982,True,Plantation
UMS,7137,True,"Industrial Materials, Components & Equipment"
UNITRAD,0247,False,Building Materials
HUBLINE,7013,True,Transportation & Logistics Services
DPS,7198,True,Property
BLDPLNT,5069,True,Plantation
KEN,7323,False,Property
RESINTC,7232,True,Building Materials
HIAPTEK,5072,True,Metals
MERSEC,0285,False,Other Financials
SDRED,2224,True,Property
JAKS,4723,True,Construction
RKI,7006,True,Houshold Goods
CHINWEL,5007,True,"Industrial Materials, Components & Equipment"
APEX,5088,False,Other Financials
ALRICH,0079,True,Software
TEKSENG,7200,True,Houshold Goods
IJM,3336,True,Construction
RENEUCO,7130,True,Personal Goods
LFECORP,7170,True,Industrial Engineering
PMBTECH,7172,True,Metals
CLMT,5180,False,Real Estate Investment Trusts
DSR,03055,True,Plantation
CBIP,7076,True,"Industrial Materials, Components & Equipment"
CRESNDO,6718,True,Property
MIKROMB,0112,True,Technology Equipment
SPSETIA,8664,True,Property
HEXZA,3298,False,Chemicals
AMFIRST,5120,False,Real Estate Investment Trusts
GENTING,3182,False,"Travel, Leisure & Hospitality"
OKA,7140,True,Building Materials
SMISCOR,7132,True,Auto Parts
SSF,0287,True,
CATCHA,0173,False,Media
ROHAS,9741,True,Industrial Engineering
IMASPRO,7222,True,Chemicals
NAIM,5073,True,Property
JAG,0024,True,Industrial Services
KHIND,7062,True,Houshold Goods
MULPHA,3905,False,"Travel, Leisure & Hospitality"
Y&G,7003,True,Property
GLOMAC,5020,True,Property
MINHO,5576,True,Wood & Wood Products
DRBHCOM,1619,True,Automotive
RVIEW,2542,True,Plantation
SAB,5134,True,Chemicals
KLCC,5235SS,True,Real Estate Investment Trusts
IFCAMSC,0023,True,Software
CVIEW,5049,True,Property
IBHD,4251,True,Property
DUTALND,3948,False,Plantation
MPHBCAP,5237,False,Property
YLI,7014,True,Metals
ABLEGRP,7086,True,Building Materials
CANONE,5105,False,Packaging Materials
MATANG,0189,False,Plantation
SUNSURIA,3743,True,Property
CEPCO,8435,True,Building Materials
SCC,0158,True,Consumer Services
EFFICEN,0064,True,Industrial Services
MPI,3867,True,Semiconductors
RADIUM,5313,True,Property
HUAYANG,5062,True,Property
SPRING,0216,True,Houshold Goods
KHJB,0210,True,Retailers
SEACERA,7073,True,Building Materials
PAOS,5022,True,Houshold Goods
TASHIN,0211,True,Metals
MKLAND,8893,True,Property
UEMS,5148,True,Property
TSRCAP,5042,True,Construction
TAFI,7211,True,Houshold Goods
EDUSPEC,0107,True,Software
PTT,7010,True,Property
MRCB,1651,True,Property
ASIAPAC,4057,True,Property
BDB,6173,True,Property
TOCEAN,7218,True,Transportation & Logistics Services
PEB,5622,True,Construction
MASTEEL,5098,True,Metals
PTARAS,9598,True,Construction
SYCAL,9717,False,Construction
WCT,9679,True,Construction
M&A,7082,False,Other Financials
PGLOBE,3611,True,Property
MBN,0280,False,Consumer Services
ARREIT,5127,False,Real Estate Investment Trusts
WMG,6378,False,Property
TOYOVEN,7173,True,Chemicals
LEBTECH,9628,True,Construction
EWEIN,7249,True,Property
ORNA,5065,True,Packaging Materials
TITIJYA,5239,True,Property
STAR,6084,True,Media
AMLEX,03011,True,Semiconductors
LIONPSIM,8486,True,Industrial Services
YBS,0025,True,"Industrial Materials, Components & Equipment"
VELESTO,5243,True,"Energy, Infrastructure, Equipment & Services"
KOSSAN,7153,True,Health Care Equipment & Services
ENGTEX,5056,True,Metals
OPCOM,0035,True,Telecommunications Equipment
ICAP,5108,False,Closed End Fund
DFX,0131,False,Digital Services
GOPENG,2135,False,Plantation
GLXT,0284,True,Industrial Services
RGTBHD,9954,True,Chemicals
EKSONS,9016,False,Wood & Wood Products
PESONA,8311,True,Construction
LSTEEL,9881,True,Metals
KANGER,0170,True,Houshold Goods
FBMMSCS,0873I,False,
ALLIANZ-PA,1163PA,False,Insurance
FBMHIJRAH,0869I,False,
UTILITIES,0065I,False,
FBMFLG,0866I,False,
FBMAPUSD,0827I,False,
FBM70,0863I,False,
IHS046000824,0401GA,True,Islamic GG
FBM100LC,0842I,False,
ENERGY,0061I,False,
OMH,5298,True,Metals
CPETECH,5317,False,
TECHNOLOGY,0005I,False,
DPS-OR,7198OR,True,
CHB,0291,False,
INDUSTRIAL PRODUCTS & SERVICES,0002I,False,
FBMACE,0871I,False,
REIT,0050I,False,
FA40,0867I,False,
TRANSPORTATION & LOGISTICS,0064I,False,
FBMSCAP,0864I,False,
FBM100LS,0843I,False,
HEALTH CARE,0062I,False,
PLANTATION,0025I,False,
F4GBM,0840I,False,
FBMMSCAP,0872I,False,
CONSTRUCTION,0003I,False,
CONSUMER PRODUCTS & SERVICES,0001I,False,
PROPERTY,0020I,False,
FBMPALMOIL-NC,0829I,False,
FBMSHA,0868I,False,
FBMAPMYR,0828I,False,
FBMEMAS,0865I,False,
ADVENTA-OR,7191OR,True,
FINANCIAL SERVICES,0010I,False,
FBMKLCI,0200I,False,
FBMT100,0861I,False,
DIN045801028,0400GB,True,Islamic GG
TELECOMMUNICATIONS & MEDIA,0063I,False,
F4GBMS,0841I,False,
BARAKAH,7251,True,"Energy, Infrastructure, Equipment & Services"
GBAY,9148,True,Packaging Materials
FBMKLCI-EA,0820EA,False,Equity Fund
CARZO,03048,True,Food & Beverages
GPP,03029,True,Industrial Services
PHARMA,7081,True,Pharmaceuticals
SAPNRG,5218,True,"Energy, Infrastructure, Equipment & Services"
SCABLE,5170,True,"Industrial Materials, Components & Equipment"
IREKA,8834,True,Construction
ALAM,5115,True,"Energy, Infrastructure, Equipment & Services"
KHEESAN,6203,False,Food & Beverages
METFUS50,0827EA,True,Equity Fund
CAPITALA,5099,True,"Travel, Leisure & Hospitality"
ABFMY1,0800EA,False,Bond Fund
EIG,5081,True,Personal Goods
SUBUR,6904,False,Wood & Wood Products
TWL,7079,True,Property
ARK,7007,True,Property
MAA,1198,False,Insurance
KESM,9334,True,Semiconductors
SERNKOU,7180,True,Houshold Goods
PERSTIM,5436,True,Metals
ESAFE,0190,False,Auto Parts
MUHIBAH,5703,True,Construction
NADIBHD,0206,True,Construction
VERSATL,4995,True,Packaging Materials
LBICAP,8494,False,Property
HEVEA,5095,True,Wood & Wood Products
TURBO,5167,False,"Industrial Materials, Components & Equipment"
SCOPE,0028,True,"Industrial Materials, Components & Equipment"
JASKITA,8648,False,"Industrial Materials, Components & Equipment"
