stock_full_name,stock_name,stock_code,is_shariah,category
AURELIUS TECHNOLOGIES BERHAD,ATECH,5302,True,"Industrial Materials, Components & Equipment"
SKB SHUTTERS CORPORATION BERHAD,SKBSHUT,7115,True,Building Materials
KERJAYA PROSPEK GROUP BERHAD,KERJAYA,7161,True,Construction
BM GREENTECH BERHAD,BMGREEN,0168,True,"Industrial Materials, Components & Equipment"
PANTECH GROUP HOLDINGS BERHAD,PANTECH,5125,True,Metals
AJIYA BERHAD,AJIYA,7609,True,Building Materials
MALAYSIA SMELTING CORPORATION BERHAD,MSC,5916,True,Metals
PETRON MALAYSIA REFINING & MARKETING BERHAD,PETRONM,3042,True,Oil & Gas Producers
YOONG ONN CORPORATION BERHAD,YOCB,5159,True,Houshold Goods
INARI AMERTRON BERHAD,INARI,0166,True,Semiconductors
NOVA WELLNESS GROUP BERHAD,NOVA,0201,True,Pharmaceuticals
DELEUM BERHAD,DELEUM,5132,True,"Energy, Infrastructure, Equipment & Services"
UNITED U-LI CORPORATION BHD,ULICORP,7133,True,"Industrial Materials, Components & Equipment"
KSL HOLDINGS BHD,KSL,5038,True,Property
KPJ HEALTHCARE BERHAD,KPJ,5878,True,Health Care Providers
SHIN YANG GROUP BERHAD,SYGROUP,5173,True,Transportation & Logistics Services
FCW HOLDINGS BHD,FCW,2755,False,Houshold Goods
ORIENTAL INTEREST BERHAD,OIB,5827,True,Property
TSR CAPITAL BHD,TSRCAP,5042,True,Construction
TASCO BERHAD,TASCO,5140,True,Transportation & Logistics Services
KIM TECK CHEONG CONSOLIDATED BERHAD,KTC,0180,True,Consumer Services
AJINOMOTO (MALAYSIA) BERHAD,AJI,2658,True,Food & Beverages
SAMCHEM HOLDINGS BERHAD,SAMCHEM,5147,True,Chemicals
INGENIEUR GUDANG BERHAD,INGENIEU,5178,True,Metals
ARK RESOURCES HOLDINGS BERHAD,ARK,7007,True,Property
LII HEN INDUSTRIES BHD,LIIHEN,7089,True,Houshold Goods
QES GROUP BERHAD,QES,0196,True,"Industrial Materials, Components & Equipment"
SKP RESOURCES BHD,SKPRES,7155,True,"Industrial Materials, Components & Equipment"
SIME DARBY PLANTATION BERHAD,SIMEPLT,5285,True,Plantation
POH KONG HOLDINGS BERHAD,POHKONG,5080,True,Retailers
HONG LEONG BANK BERHAD,HLBANK,5819,False,Banking
PANASONIC MANUFACTURING MALAYSIA BERHAD,PANAMY,3719,False,Houshold Goods
CIMB GROUP HOLDINGS BERHAD,CIMB,1023,False,Banking
HAP SENG CONSOLIDATED BERHAD,HAPSENG,3034,False,Diversified Industrials
TEO GUAN LEE CORPORATION BHD,TGL,9369,False,Personal Goods
IHH HEALTHCARE BERHAD,IHH,5225,True,Health Care Providers
HONG LEONG FINANCIAL GROUP BHD,HLFG,1082,False,Banking
MESB BERHAD,MESB,7234,False,Personal Goods
THREE-A RESOURCES BERHAD,3A,0012,True,Food & Beverages
T7 GLOBAL BERHAD,T7GLOBAL,7228,True,"Energy, Infrastructure, Equipment & Services"
DANCOMECH HOLDINGS BERHAD,DANCO,5276,True,"Industrial Materials, Components & Equipment"
MALAYAN BANKING BERHAD,MAYBANK,1155,False,Banking
HOMERITZ CORPORATION BERHAD,HOMERIZ,5160,True,Houshold Goods
